,Id,BsmtQual_Mapping,BsmtCond_Mapping,BsmtExposure_Mapping,BsmtFinType1_Mapping,BsmtFinType2_Mapping,ExterQual_Mapping,ExterCond_Mapping,Electrical_Mapping,FireplaceQu_Mapping,Fence_Mapping,GarageQual_Mapping,GarageCond_Mapping,GarageFinish_Mapping,HeatingQC_Mapping,KitchenQual_Mapping,LotShape_Mapping,PoolQC_Mapping,Utilities_Mapping,MSSubClass_Recategory,MSZoning_Recategory,LotConfig_Recategory,BldgType_Recategory,Condition1_Recategory,Condition2_Recategory,Fence_Recategory,Functional_Recategory,HouseStyle_Recategory,RoofStyle_Recategory,RoofMatl_Recategory,MasVnrType_Recategory,GarageType_Recategory,GarageFinish_Recategory,SaleType_Recategory,SaleCondition_Recategory,OverallQual_Recategory,OverallCond_Recategory,LotFrontage,LotArea,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,Street,Alley,LotShape,LandContour,LandSlope,Foundation,Heating,CentralAir,MiscFeature,SalePrice
0,1,4,3,1,6,1,4,3,5,0,0,3,3,2,5,4,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,7,5,65.0,8450,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2003.0,2,548,0,61,0,0,0,0,0,2,2008,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,208500
1,2,4,3,4,5,1,3,3,5,3,0,3,3,2,5,3,1,0,4,20,R,FR,1Fam,Feedr,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,6,8,80.0,9600,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,1976.0,2,460,298,0,0,0,0,0,0,5,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,181500
2,3,4,3,2,6,1,4,3,5,3,0,3,3,2,5,4,2,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,7,5,68.0,11250,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2001.0,2,608,0,42,0,0,0,0,0,9,2008,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,223500
3,4,3,4,1,5,1,3,3,5,4,0,3,3,1,4,4,2,0,4,70,R,Corner,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,Detchd,Unf,WD,Abnorml,7,5,60.0,9550,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,1998.0,3,642,0,35,272,0,0,0,0,2,2006,Pave,,IR1,Lvl,Gtl,BrkTil,GasA,Y,,140000
4,5,4,3,3,6,1,4,3,5,3,0,3,3,2,5,4,2,0,4,60,R,FR,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,8,5,84.0,14260,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,2000.0,3,836,192,84,0,0,0,0,0,12,2008,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,250000
5,6,4,3,1,6,1,3,3,5,0,3,3,3,1,5,3,2,0,4,50,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,1.5Fin,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,5,85.0,14115,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,1993.0,2,480,40,30,0,320,0,0,700,10,2009,Pave,,IR1,Lvl,Gtl,Wood,GasA,Y,Shed,143000
6,7,5,3,3,6,1,4,3,5,4,0,3,3,2,5,4,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,8,5,75.0,10084,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2004.0,2,636,255,57,0,0,0,0,0,8,2007,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,307000
7,8,4,3,2,5,4,3,3,5,3,0,3,3,2,5,3,2,0,4,60,R,Corner,1Fam,PosN,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,7,6,,10382,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,1973.0,2,484,235,204,228,0,0,0,350,11,2009,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,Shed,200000
8,9,3,3,1,1,1,3,3,3,3,0,2,3,1,4,3,1,0,4,50,R,Inside,1Fam,Artery,Norm,,Min1,1.5Fin,NFlt,CompShg,None,Detchd,Unf,WD,Abnorml,7,5,51.0,6120,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,1931.0,2,468,90,0,205,0,0,0,0,4,2008,Pave,,Reg,Lvl,Gtl,BrkTil,GasA,Y,,129900
9,10,3,3,1,6,1,3,3,5,3,0,4,3,2,5,3,1,0,4,190,R,Corner,2fmCon,Artery,Artery,,Typ,1.5Unf,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,6,50.0,7420,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1939.0,1,205,0,4,0,0,0,0,0,1,2008,Pave,,Reg,Lvl,Gtl,BrkTil,GasA,Y,,118000
